timestamp,road_id,road_name,cars_count,avg_speed,congestion_level,district
2025-01-01 08:00:00,1,صلاح سالم,152,67.79,34.21,مدينة نصر
2025-01-01 08:00:00,2,الهرم,238,55.81,48.19,الجيزة
2025-01-01 08:00:00,3,كورنيش النيل,124,47.55,51.45,وسط البلد
2025-01-01 08:00:00,4,المعادي كورنيش,149,28.57,68.43,المعادي
2025-01-01 08:00:00,5,التجمع محور التسعين,199,23.38,78.62,التجمع الخامس
2025-01-01 08:05:00,1,صلاح سالم,207,32.74,66.26,مدينة نصر
2025-01-01 08:05:00,2,الهرم,210,38.25,61.75,الجيزة
2025-01-01 08:05:00,3,كورنيش النيل,138,37.47,66.53,وسط البلد
2025-01-01 08:05:00,4,المعادي كورنيش,237,41.98,55.02,المعادي
2025-01-01 08:05:00,5,التجمع محور التسعين,157,50.85,52.15,التجمع الخامس
2025-01-01 08:10:00,1,صلاح سالم,180,71.6,29.4,مدينة نصر
2025-01-01 08:10:00,2,الهرم,70,47.03,48.97,الجيزة
2025-01-01 08:10:00,3,كورنيش النيل,181,76.53,19.47,وسط البلد
2025-01-01 08:10:00,4,المعادي كورنيش,58,20.96,75.04,المعادي
2025-01-01 08:10:00,5,التجمع محور التسعين,133,34.46,66.54,التجمع الخامس
2025-01-01 08:15:00,1,صلاح سالم,221,49.71,47.29,مدينة نصر
2025-01-01 08:15:00,2,الهرم,130,35.53,66.47,الجيزة
2025-01-01 08:15:00,3,كورنيش النيل,181,38.7,61.3,وسط البلد
2025-01-01 08:15:00,4,المعادي كورنيش,103,52.8,47.2,المعادي
2025-01-01 08:15:00,5,التجمع محور التسعين,240,70.54,25.46,التجمع الخامس
2025-01-01 08:20:00,1,صلاح سالم,239,75.6,26.4,مدينة نصر
2025-01-01 08:20:00,2,الهرم,239,39.52,56.48,الجيزة
2025-01-01 08:20:00,3,كورنيش النيل,160,69.72,34.28,وسط البلد
2025-01-01 08:20:00,4,المعادي كورنيش,237,52.56,50.44,المعادي
2025-01-01 08:20:00,5,التجمع محور التسعين,206,68.13,26.87,التجمع الخامس
2025-01-01 08:25:00,1,صلاح سالم,138,79.21,22.79,مدينة نصر
2025-01-01 08:25:00,2,الهرم,178,31.92,70.08,الجيزة
2025-01-01 08:25:00,3,كورنيش النيل,112,68.93,26.07,وسط البلد
2025-01-01 08:25:00,4,المعادي كورنيش,185,63.74,31.26,المعادي
2025-01-01 08:25:00,5,التجمع محور التسعين,172,24.44,76.56,التجمع الخامس
2025-01-01 08:30:00,1,صلاح سالم,90,74.9,28.1,مدينة نصر
2025-01-01 08:30:00,2,الهرم,121,46.97,48.03,الجيزة
2025-01-01 08:30:00,3,كورنيش النيل,97,42.25,59.75,وسط البلد
2025-01-01 08:30:00,4,المعادي كورنيش,86,63.78,38.22,المعادي
2025-01-01 08:30:00,5,التجمع محور التسعين,84,48.33,50.67,التجمع الخامس
2025-01-01 08:35:00,1,صلاح سالم,224,62.79,32.21,مدينة نصر
2025-01-01 08:35:00,2,الهرم,54,53.68,47.32,الجيزة
2025-01-01 08:35:00,3,كورنيش النيل,76,51.36,52.64,وسط البلد
2025-01-01 08:35:00,4,المعادي كورنيش,91,46.36,50.64,المعادي
2025-01-01 08:35:00,5,التجمع محور التسعين,112,73.75,21.25,التجمع الخامس
2025-01-01 08:40:00,1,صلاح سالم,101,53.8,44.2,مدينة نصر
2025-01-01 08:40:00,2,الهرم,200,56.27,41.73,الجيزة
2025-01-01 08:40:00,3,كورنيش النيل,62,24.62,72.38,وسط البلد
2025-01-01 08:40:00,4,المعادي كورنيش,135,72.83,31.17,المعادي
2025-01-01 08:40:00,5,التجمع محور التسعين,94,37.74,61.26,التجمع الخامس
2025-01-01 08:45:00,1,صلاح سالم,183,47.39,50.61,مدينة نصر
2025-01-01 08:45:00,2,الهرم,79,73.0,31.0,الجيزة
2025-01-01 08:45:00,3,كورنيش النيل,141,41.38,53.62,وسط البلد
2025-01-01 08:45:00,4,المعادي كورنيش,178,33.68,69.32,المعادي
2025-01-01 08:45:00,5,التجمع محور التسعين,165,41.15,55.85,التجمع الخامس
2025-01-01 08:50:00,1,صلاح سالم,152,29.88,73.12,مدينة نصر
2025-01-01 08:50:00,2,الهرم,111,33.33,63.67,الجيزة
2025-01-01 08:50:00,3,كورنيش النيل,221,34.65,65.35,وسط البلد
2025-01-01 08:50:00,4,المعادي كورنيش,209,51.13,51.87,المعادي
