timestamp,bus_id,lat,lon,speed
2025-01-01 08:00:00,1,30.04405,31.234985,51.31
2025-01-01 08:05:00,1,30.043369,31.234511,15.57
2025-01-01 08:10:00,1,30.04267,31.234139,44.31
2025-01-01 08:15:00,1,30.043413,31.23474,62.56
2025-01-01 08:20:00,1,30.042895,31.234364,14.58
2025-01-01 08:25:00,1,30.043341,31.233676,43.4
2025-01-01 08:30:00,1,30.042937,31.233265,69.44
2025-01-01 08:35:00,1,30.043348,31.233804,44.32
2025-01-01 08:40:00,1,30.043942,31.234037,66.77
2025-01-01 08:45:00,1,30.043592,31.234189,51.41
2025-01-01 08:50:00,1,30.043421,31.234797,68.79
2025-01-01 08:55:00,1,30.043411,31.234622,38.32
2025-01-01 09:00:00,1,30.043975,31.234855,12.69
2025-01-01 09:05:00,1,30.044042,31.234082,56.71
2025-01-01 09:10:00,1,30.043768,31.234038,57.92
2025-01-01 09:15:00,1,30.043042,31.233491,33.88
2025-01-01 09:20:00,1,30.04261,31.233232,69.89
2025-01-01 09:25:00,1,30.043131,31.233846,66.22
2025-01-01 09:30:00,1,30.042876,31.233522,24.04
2025-01-01 09:35:00,1,30.043404,31.233809,24.17
2025-01-01 09:40:00,1,30.043207,31.23382,41.69
2025-01-01 09:45:00,1,30.043829,31.233628,64.51
2025-01-01 09:50:00,1,30.043736,31.234023,65.82
2025-01-01 09:55:00,1,30.044388,31.233314,22.34
2025-01-01 10:00:00,1,30.044351,31.233204,48.45
2025-01-01 10:05:00,1,30.045062,31.232584,37.11
2025-01-01 10:10:00,1,30.04457,31.233215,67.87
2025-01-01 10:15:00,1,30.044536,31.232581,57.12
2025-01-01 10:20:00,1,30.044852,31.232349,63.24
2025-01-01 10:25:00,1,30.045613,31.232441,43.94
2025-01-01 10:30:00,1,30.045289,31.232576,36.38
2025-01-01 10:35:00,1,30.044972,31.231884,25.16
2025-01-01 10:40:00,1,30.044489,31.231951,46.1
2025-01-01 10:45:00,1,30.044663,31.231772,35.27
2025-01-01 10:50:00,1,30.045197,31.231734,69.27
2025-01-01 10:55:00,1,30.045101,31.231973,13.02
2025-01-01 11:00:00,1,30.045346,31.232536,66.55
2025-01-01 11:05:00,1,30.046142,31.232187,44.52
2025-01-01 11:10:00,1,30.046063,31.232289,19.45
2025-01-01 11:15:00,1,30.046633,31.232945,36.98
2025-01-01 11:20:00,1,30.046282,31.23237,51.03
2025-01-01 11:25:00,1,30.045981,31.233025,50.26
2025-01-01 11:30:00,1,30.046214,31.23312,12.75
2025-01-01 11:35:00,1,30.046905,31.233325,69.64
2025-01-01 11:40:00,1,30.046965,31.233661,13.37
2025-01-01 11:45:00,1,30.047176,31.234085,56.71
2025-01-01 11:50:00,1,30.047608,31.233647,68.52
2025-01-01 11:55:00,1,30.0484,31.232968,66.19
2025-01-01 12:00:00,1,30.048063,31.23327,30.29
2025-01-01 12:05:00,1,30.048812,31.232633,39.86
2025-01-01 12:10:00,1,30.048697,31.232355,48.73
2025-01-01 12:15:00,1,30.048106,31.232701,68.84
2025-01-01 12:20:00,1,30.048594,31.233277,31.58
2025-01-01 12:25:00,1,30.048314,31.233304,12.74
2025-01-01 12:30:00,1,30.049026,31.232735,64.18
2025-01-01 12:35:00,1,30.04836,31.233251,19.12
2025-01-01 12:40:00,1,30.047621,31.233602,26.82
2025-01-01 12:45:00,1,30.047964,31.23369,16.53
2025-01-01 12:50:00,1,30.048655,31.233614,54.07
2025-01-01 12:55:00,1,30.048657,31.233781,28.17
2025-01-01 13:00:00,1,30.048178,31.233849,36.41
