timestamp,district,pm25,pm10,co2,no2,aqi
1/1/2025 8:00,Maadi,94.46,70.52,538.19,48.92,78.17
1/1/2025 8:00,Heliopolis,63.43,48.16,371.65,85.94,63.35
1/1/2025 8:00,Nasr City,59.66,58.71,438.2,34.57,54.36
1/1/2025 8:00,Giza,24.57,84.93,463.23,54.14,48.59
1/1/2025 8:00,New Cairo (5th Settlement),66.35,106.04,589.66,40.19,73.03
1/1/2025 8:05,Maadi,53.57,71.39,437.33,70.76,62.35
1/1/2025 8:05,Heliopolis,46.78,150.58,306.34,43.51,77.27
1/1/2025 8:05,Nasr City,120.86,87.58,469.12,26.4,91.99
1/1/2025 8:05,Giza,116.46,38.89,555.76,25.86,75.07
1/1/2025 8:05,New Cairo (5th Settlement),133.67,89.93,516.81,35.54,100.92
1/1/2025 8:10,Maadi,137.77,51.53,353.56,49.44,94.23
1/1/2025 8:10,Heliopolis,30.65,63.32,583.13,88.12,51.94
1/1/2025 8:10,Nasr City,68.91,186.96,463.45,31.58,96.86
1/1/2025 8:10,Giza,111.31,142.01,596.74,31.2,104.5
1/1/2025 8:10,New Cairo (5th Settlement),107.37,38.84,334.09,10.31,67.4
1/1/2025 8:15,Maadi,149.93,166.39,536.02,50.78,135.04
1/1/2025 8:15,Heliopolis,59.01,55.71,385.4,40.08,54.23
1/1/2025 8:15,Nasr City,118.32,121.74,323.25,11.44,97.97
1/1/2025 8:15,Giza,33.3,99.78,579.96,60.99,58.79
1/1/2025 8:15,New Cairo (5th Settlement),124.24,109.28,408.5,18.67,98.64
1/1/2025 8:20,Maadi,133.87,163.14,350.44,50.98,126.07
1/1/2025 8:20,Heliopolis,83.36,136.27,583.86,56.38,93.84
1/1/2025 8:20,Nasr City,90.23,38.55,318.87,24.99,61.68
1/1/2025 8:20,Giza,24.22,156.37,517,20.88,63.2
1/1/2025 8:20,New Cairo (5th Settlement),128.69,56.31,390.35,29.92,87.22
1/1/2025 8:25,Maadi,68.4,73.29,446.69,42.59,64.71
1/1/2025 8:25,Heliopolis,148.25,39.51,342.65,14.23,88.82
1/1/2025 8:25,Nasr City,101.36,39.27,550.93,50.96,72.65
1/1/2025 8:25,Giza,88.51,125.47,351.24,25.82,87.06
1/1/2025 8:25,New Cairo (5th Settlement),61.45,130.89,363.04,19.31,73.85
1/1/2025 8:30,Maadi,146.12,33.74,540.81,73.04,97.79
1/1/2025 8:30,Heliopolis,58.64,53.06,343.69,65.79,58.39
1/1/2025 8:30,Nasr City,103.56,163.07,581.24,65.35,113.77
1/1/2025 8:30,Giza,40.26,71.39,552.66,26.74,46.89
1/1/2025 8:30,New Cairo (5th Settlement),29.43,149.56,420.76,83.6,76.3
1/1/2025 8:35,Maadi,104.53,45.37,584.36,30.68,72.01
1/1/2025 8:35,Heliopolis,63.84,98.38,315.37,49.72,71.38
1/1/2025 8:35,Nasr City,36.03,98.16,405.21,71.83,61.83
1/1/2025 8:35,Giza,124.41,56.08,409.97,39.87,87
1/1/2025 8:35,New Cairo (5th Settlement),39.68,165.74,512.17,25.23,74.61
1/1/2025 8:40,Maadi,67.67,47.99,488.46,19.71,52.17
1/1/2025 8:40,Heliopolis,148.17,162.72,417.07,56.29,134.16
1/1/2025 8:40,Nasr City,138.47,124.2,352.35,40.3,114.56
1/1/2025 8:40,Giza,129.61,139.52,495.22,79.35,122.53
1/1/2025 8:40,New Cairo (5th Settlement),136.22,186.36,328.45,53.53,134.72
1/1/2025 8:45,Maadi,116.27,158.68,482.01,23.34,110.4
1/1/2025 8:45,Heliopolis,123.66,152.42,325.84,47.1,116.98
1/1/2025 8:45,Nasr City,42.62,87.37,305.42,42.03,55.93
1/1/2025 8:45,Giza,91.48,135.33,499.05,76.9,101.72
1/1/2025 8:45,New Cairo (5th Settlement),48.01,50.48,555.46,22.53,43.66
1/1/2025 8:50,Maadi,146.72,173.23,450.26,88.51,143.03
1/1/2025 8:50,Heliopolis,32.66,81.52,491.47,38,48.39
1/1/2025 8:50,Nasr City,140.69,41.16,464.82,57.27,94.15
1/1/2025 8:50,Giza,104.85,73.46,409.37,77.49,89.97
1/1/2025 8:50,New Cairo (5th Settlement),45.34,170.57,468.8,70.98,88.04
1/1/2025 8:55,Maadi,112.77,65.28,470.64,79.42,91.85
1/1/2025 8:55,Heliopolis,76.18,194.32,435.66,21.42,100.67
1/1/2025 8:55,Nasr City,70.63,191.79,395.92,79.45,108.74
1/1/2025 8:55,Giza,134.56,89.53,324.98,67.96,107.73
1/1/2025 8:55,New Cairo (5th Settlement),60.5,163.1,432.8,48.82,88.94
1/1/2025 9:00,Maadi,121.13,95,432.94,40.1,97.08
1/1/2025 9:00,Heliopolis,67.75,119.41,542.64,38.94,77.49
1/1/2025 9:00,Nasr City,88.15,144.02,380.83,32.2,93.72
1/1/2025 9:00,Giza,141.34,153,473.16,61.82,128.94
1/1/2025 9:00,New Cairo (5th Settlement),23.81,135.08,452.85,53.66,63.16
1/1/2025 9:05,Maadi,66.73,43.85,358,86.06,63.73
1/1/2025 9:05,Heliopolis,73.13,109.34,315.81,13.01,71.97
1/1/2025 9:05,Nasr City,113.23,121.48,452.61,29.45,98.95
1/1/2025 9:05,Giza,116.82,58.6,356.98,46.86,85.36
1/1/2025 9:05,New Cairo (5th Settlement),57.22,72.07,493.57,62.08,62.64
1/1/2025 9:10,Maadi,127.19,101.01,321.93,31.89,100.28
1/1/2025 9:10,Heliopolis,147.4,131.36,512.92,10.59,115.23
1/1/2025 9:10,Nasr City,87.37,36.38,470.77,83.66,71.33
1/1/2025 9:10,Giza,145.89,121.89,437.46,85.6,126.64
1/1/2025 9:10,New Cairo (5th Settlement),107.57,41.03,439.72,29.22,71.94
1/1/2025 9:15,Maadi,81.07,107.43,474.64,38.54,80.47
1/1/2025 9:15,Heliopolis,41.36,115.63,549.06,63.12,67.99
1/1/2025 9:15,Nasr City,63.99,189.04,573.66,26.75,94.06
1/1/2025 9:15,Giza,25.12,156.02,548.28,87.43,76.85
1/1/2025 9:15,New Cairo (5th Settlement),135.68,132.09,459.02,12.23,109.91
1/1/2025 9:20,Maadi,52.07,108.13,488.55,54.58,69.39
1/1/2025 9:20,Heliopolis,116.54,77.56,469.49,17.05,84.95
1/1/2025 9:20,Nasr City,73.78,157.53,508.02,89.25,102
1/1/2025 9:20,Giza,56.13,114.69,398.86,45.25,71.52
1/1/2025 9:20,New Cairo (5th Settlement),131.4,146.32,564.73,26.28,114.85
1/1/2025 9:25,Maadi,133.54,40.16,566.58,36.33,86.08
1/1/2025 9:25,Heliopolis,60.9,117.06,582.21,13.82,68.33
1/1/2025 9:25,Nasr City,65.79,175.62,418.82,25.93,90.77
1/1/2025 9:25,Giza,75.22,95.54,574.62,70.95,80.47
1/1/2025 9:25,New Cairo (5th Settlement),85.67,198.02,439.58,14.66,105.17
1/1/2025 9:30,Maadi,54.1,104.13,347.07,85.81,75.45
1/1/2025 9:30,Heliopolis,119.69,75.61,477.24,67.72,96.07
1/1/2025 9:30,Nasr City,142.37,179.88,454.56,71.97,139.54
1/1/2025 9:30,Giza,93.08,123.96,334.42,20.09,87.75
1/1/2025 9:30,New Cairo (5th Settlement),88.84,75.71,306.31,67.83,80.7
1/1/2025 9:35,Maadi,24.22,131.2,461.76,87.51,68.97
1/1/2025 9:35,Heliopolis,82.95,40.81,465.51,77.29,69.18
1/1/2025 9:35,Nasr City,149.59,103.16,396.09,82.53,122.25
1/1/2025 9:35,Giza,44.86,134.62,421.71,13.29,65.47
1/1/2025 9:35,New Cairo (5th Settlement),65.15,75.09,505.83,85.9,72.28
1/1/2025 9:40,Maadi,54.85,167.95,316.61,53.05,88.42
1/1/2025 9:40,Heliopolis,29.17,188.79,529.91,62.64,83.75
1/1/2025 9:40,Nasr City,127.11,140.08,590.68,67.12,119
1/1/2025 9:40,Giza,140.21,117.91,335.12,52.25,115.93
1/1/2025 9:40,New Cairo (5th Settlement),36.49,130.72,444.75,59.81,69.43
1/1/2025 9:45,Maadi,21.31,63.12,447.4,86.04,46.8
1/1/2025 9:45,Heliopolis,69.87,102.14,514.41,58.3,77.24
1/1/2025 9:45,Nasr City,58.86,99.84,365.31,87.28,76.84
1/1/2025 9:45,Giza,36.98,93.21,307.75,27.74,52
1/1/2025 9:45,New Cairo (5th Settlement),121.46,64.2,324.02,47.96,89.58
1/1/2025 9:50,Maadi,21.3,44.41,542.29,71.72,38.31
1/1/2025 9:50,Heliopolis,138.97,175.27,504.95,14.19,124.9
1/1/2025 9:50,Nasr City,121.77,173.74,539.72,50.68,123.14
1/1/2025 9:50,Giza,50.28,173.71,518.15,88.46,94.94
1/1/2025 9:50,New Cairo (5th Settlement),40.24,68.36,363.54,73.4,55.31
1/1/2025 9:55,Maadi,44.3,41.33,599.57,11.99,36.95
1/1/2025 9:55,Heliopolis,128.58,92.11,552.48,54.37,102.8
1/1/2025 9:55,Nasr City,137.21,187.45,302.73,16.03,128.05
1/1/2025 9:55,Giza,52.55,143.78,566.48,46.8,78.77
1/1/2025 9:55,New Cairo (5th Settlement),98.91,62.04,541.49,87.39,85.54
1/1/2025 10:00,Maadi,54.92,114.12,325.83,54.73,72.64
1/1/2025 10:00,Heliopolis,85.36,54.55,432.62,36.73,66.39
1/1/2025 10:00,Nasr City,87.84,129.56,302.55,70.88,96.96
1/1/2025 10:00,Giza,112.69,92.27,315.88,70.39,98.11
1/1/2025 10:00,New Cairo (5th Settlement),144.17,70.83,397.06,24.71,98.28
1/1/2025 10:05,Maadi,95,56.32,406.86,65.76,77.55
1/1/2025 10:05,Heliopolis,92.82,95.7,426.07,54.97,86.11
1/1/2025 10:05,Nasr City,20.76,43.35,564.38,16.23,26.63
1/1/2025 10:05,Giza,111.88,186.41,381.21,39.64,119.79
1/1/2025 10:05,New Cairo (5th Settlement),93.96,179.89,582.57,69.17,114.78
1/1/2025 10:10,Maadi,31.26,143.76,423.09,47.66,68.29
1/1/2025 10:10,Heliopolis,26.39,62.48,537.15,46.32,41.2
1/1/2025 10:10,Nasr City,59.22,95.28,556.32,69.92,72.18
1/1/2025 10:10,Giza,55.4,49.98,375.6,83.66,59.43
1/1/2025 10:10,New Cairo (5th Settlement),95.61,120.69,478.92,39.28,91.87
1/1/2025 10:15,Maadi,124.92,118.96,335.02,20.33,102.21
1/1/2025 10:15,Heliopolis,89.79,189.22,392.51,79.56,117.57
1/1/2025 10:15,Nasr City,119.33,72.13,310.9,18.15,84.93
1/1/2025 10:15,Giza,114.7,63.94,411.38,50.14,86.56
1/1/2025 10:15,New Cairo (5th Settlement),114.31,49.25,421.91,48.81,81.69
1/1/2025 10:20,Maadi,90.31,169.12,351.5,74.63,110.82
1/1/2025 10:20,Heliopolis,110.07,124.5,509.86,42.96,100.98
1/1/2025 10:20,Nasr City,37.99,143.18,457.4,61.15,74.18
1/1/2025 10:20,Giza,63.94,184.17,476.21,16.83,90.59
1/1/2025 10:20,New Cairo (5th Settlement),78.47,158.58,538.24,49.57,96.72
1/1/2025 10:25,Maadi,136.32,75.5,423.18,81.89,107.19
1/1/2025 10:25,Heliopolis,136.51,146.57,557.69,17.1,115.65
1/1/2025 10:25,Nasr City,132.45,84.51,353.5,29.15,97.41
1/1/2025 10:25,Giza,74.34,72.7,396.17,20.8,63.14
1/1/2025 10:25,New Cairo (5th Settlement),58.5,127.29,432.56,37.74,74.99
1/1/2025 10:30,Maadi,117.04,181.9,527.04,36.56,120.4
1/1/2025 10:30,Heliopolis,116.78,55.84,339.1,37.65,82.67
